buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2018,, ,26,2,2020,"15,500",19.21,6,37-24,0,이대프리젠#4,,,11410,서대문구,대현동, 
2005,, ,7,2,2020,"1,000",34.22,9,116,80,SK리쳄블,,,11410,서대문구,합동, 
2006,, ,4,2,2020,"20,000",50.26,6,90-1,0,(90-1),,,11410,서대문구,대신동, 
2018,, ,5,2,2020,860,27.16,9,1013,90,이편한세상신촌,,,11410,서대문구,북아현동, 
2018,, ,10,2,2020,"1,000",20.19,4,56-10,75,더가온 오피스텔,,,11410,서대문구,대현동, 
2018,, ,25,2,2020,"21,000",20.02,5,37-15,0,이대프리젠#3,,,11410,서대문구,대현동, 
2004,, ,12,2,2020,"1,000",24.29,8,45-5,65,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2004,20.02~21.02,신규,1,2,2020,"4,000",28.5,8,20-41,50,아남오피스텔,,,11410,서대문구,창천동, 
2019,, ,13,2,2020,"1,000",14.62,8,90-36,60,이화블로섬하우스,,,11410,서대문구,대현동, 
2018,, ,19,2,2020,"23,500",24.1,3,90-35,0,이대다올노블리움2차,,,11410,서대문구,대현동, 
2019,, ,20,2,2020,"10,000",20.05,6,110-22,90,신촌 스타게이트,,,11410,서대문구,대현동, 
2018,, ,4,2,2020,"1,000",16.99,10,56-10,73,더가온 오피스텔,,,11410,서대문구,대현동, 
2019,, ,15,2,2020,"3,000",12.87,5,56-83,58,한빛슈테리움2차,,,11410,서대문구,대현동, 
2012,, ,4,2,2020,"1,000",20.79,9,427,50,신영오피스텔,,,11410,서대문구,홍은동, 
2019,, ,4,2,2020,"10,000",20.05,9,110-22,60,신촌 스타게이트,,,11410,서대문구,대현동, 
2017,, ,16,2,2020,"1,000",20.27,4,37-32,70,영타운 지웰 에스테이트,,,11410,서대문구,대현동, 
2019,, ,4,2,2020,"3,500",14.09,8,56-83,63,한빛슈테리움2차,,,11410,서대문구,대현동, 
2002,20.03~22.02,신규,20,2,2020,"7,000",20.39,3,121-4,10,오벨리스크,,,11410,서대문구,연희동, 
2015,, ,11,2,2020,"5,000",14.5,3,90-41,19,(90-41),,,11410,서대문구,대현동, 
2019,, ,1,2,2020,"3,000",20.05,7,110-22,87,신촌 스타게이트,,,11410,서대문구,대현동, 
2019,, ,5,2,2020,"3,000",12.87,6,56-83,60,한빛슈테리움2차,,,11410,서대문구,대현동, 
2014,, ,20,2,2020,"21,000",23.7,5,104-5,0,신촌푸르지오시티,,,11410,서대문구,대현동, 
2018,20.02~21.02,신규,6,2,2020,"1,000",15.8,3,56-63,65,이대오늘아침 오피스텔,,,11410,서대문구,대현동, 
2019,, ,3,2,2020,"1,000",17.37,6,90-15,80,아리움Ⅰ,,,11410,서대문구,대현동, 
