buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
2009,, ,23,11,2011,"10,000",56.12,5,165-2,0,코지펠리스,,,11410,서대문구,홍은동, 
2002,, ,26,11,2011,"1,000",19.61,3,62-48,50,(62-48),,,11410,서대문구,창천동, 
2004,, ,20,11,2011,"2,000",20.52,6,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2007,, ,29,11,2011,"23,000",116.97,1,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2004,, ,16,11,2011,"8,000",19.89,3,97-64,0,경선파인 오피스텔,,,11410,서대문구,창천동, 
2002,, ,29,11,2011,"7,000",25.73,3,76-24,0,(76-24),,,11410,서대문구,연희동, 
2004,, ,14,11,2011,"12,000",28.08,7,20-41,0,아남오피스텔,,,11410,서대문구,창천동, 
2003,, ,21,11,2011,"9,000",26.03,4,136-7,0,(136-7),,,11410,서대문구,연희동, 
2003,, ,15,11,2011,"7,000",25.04,5,136-7,20,(136-7),,,11410,서대문구,연희동, 
2004,11.11~12.11,신규,9,11,2011,"1,000",21.09,5,343-1,45,선정오피스텔,,,11410,서대문구,북가좌동, 
2006,, ,12,12,2011,"2,000",29.26,9,117,70,충정로대우디오빌,,,11410,서대문구,합동, 
2006,, ,23,12,2011,"9,500",22.61,4,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,31,12,2011,"10,000",22.08,4,45-5,0,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2003,, ,16,12,2011,"3,000",26.36,2,413-126,30,(413-126),,,11410,서대문구,연희동, 
2004,, ,26,12,2011,"3,000",29.23,4,465,35,충정리시온,,,11410,서대문구,충정로3가, 
2002,, ,17,12,2011,500,13.33,7,92-7,45,창천오피스텔,,,11410,서대문구,창천동, 
2004,, ,30,1,2012,"1,500",19.26,4,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2002,, ,18,1,2012,"1,000",25.73,4,76-24,50,(76-24),,,11410,서대문구,연희동, 
2003,, ,30,1,2012,"4,500",21.42,3,396-25,10,동림오벨리스크,,,11410,서대문구,홍은동, 
2004,, ,31,1,2012,"3,000",17.16,6,78-4,43,시아 루비움,,,11410,서대문구,연희동, 
2003,12.02~14.02,신규,30,1,2012,"5,000",18.9,6,188-57,25,(188-57),,,11410,서대문구,연희동, 
2006,, ,28,1,2012,"8,700",19.4,5,190,13,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,21,1,2012,"2,000",19.38,5,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2006,, ,4,1,2012,"9,500",22.61,10,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,30,1,2012,"2,000",20.52,5,97-64,60,경선파인 오피스텔,,,11410,서대문구,창천동, 
2002,, ,18,1,2012,"1,000",19.61,4,62-48,50,(62-48),,,11410,서대문구,창천동, 
2006,, ,6,2,2012,"2,000",39.73,4,90-1,90,(90-1),,,11410,서대문구,대신동, 
2003,, ,16,2,2012,"9,000",26.03,3,136-7,0,(136-7),,,11410,서대문구,연희동, 
2004,, ,4,2,2012,"9,500",28.5,15,20-41,12,아남오피스텔,,,11410,서대문구,창천동, 
2004,, ,22,2,2012,"8,000",20.52,1,97-64,0,경선파인 오피스텔,,,11410,서대문구,창천동, 
2007,, ,10,2,2012,"25,000",114.15,3,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2007,, ,4,2,2012,"17,000",86.17,5,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2007,, ,21,2,2012,"24,000",115.53,10,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2009,, ,7,2,2012,"1,000",25.35,7,192,70,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2006,, ,29,2,2012,"9,500",19.4,8,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,25,2,2012,"5,000",27.31,2,97-64,50,경선파인 오피스텔,,,11410,서대문구,창천동, 
2004,, ,3,3,2012,"3,000",19.95,7,188-3,40,(188-3),,,11410,서대문구,연희동, 
2004,, ,30,3,2012,"1,000",19.25,5,78-4,55,시아 루비움,,,11410,서대문구,연희동, 
2006,, ,8,3,2012,"15,000",29.26,5,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2007,, ,6,3,2012,"33,000",115.53,8,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2009,, ,8,3,2012,"5,000",35.53,7,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2005,, ,26,3,2012,"14,000",33.71,6,29-81,0,신촌 르메이에르타운5,,,11410,서대문구,창천동, 
2006,, ,1,3,2012,"9,000",19.4,2,190,0,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2007,, ,28,3,2012,"25,000",115.53,7,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,17,3,2012,"7,000",19.4,6,190,23,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2004,, ,29,3,2012,"5,000",22.68,2,328-19,0,엘림오피스텔,,,11410,서대문구,남가좌동, 
2003,, ,16,4,2012,"2,000",21.45,4,396-24,20,현상준건물,,,11410,서대문구,홍은동, 
2004,, ,19,4,2012,"2,500",19.25,10,78-4,35,시아 루비움,,,11410,서대문구,연희동, 
2005,, ,24,4,2012,"7,500",19.01,3,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2009,, ,29,4,2012,"14,000",25.35,3,192,0,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2003,, ,27,4,2012,"1,000",22.8,4,88-11,60,정연지오빌ll,,,11410,서대문구,연희동, 
2009,, ,24,4,2012,"5,500",25.35,9,192,50,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
2007,, ,11,4,2012,"5,000",28.79,4,194-30,45,브라운스톤 연희,,,11410,서대문구,연희동, 
2007,, ,7,4,2012,"20,000",87.59,4,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2004,, ,11,4,2012,"6,500",22.2,5,343-1,0,선정오피스텔,,,11410,서대문구,북가좌동, 
2006,, ,16,4,2012,"13,000",29.26,3,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2007,, ,7,5,2012,"21,000",89.73,1,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2007,, ,3,5,2012,"15,000",116.97,1,340-27,50,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,24,5,2012,"23,000",61.22,5,117,0,충정로대우디오빌,,,11410,서대문구,합동, 
2007,, ,18,5,2012,"11,000",28.79,5,194-30,0,브라운스톤 연희,,,11410,서대문구,연희동, 
2002,, ,5,5,2012,"1,000",20.67,5,100-15,44,브라운 힐,,,11410,서대문구,연희동, 
2004,, ,30,5,2012,"3,000",19.26,4,97-64,45,경선파인 오피스텔,,,11410,서대문구,창천동, 
2004,, ,5,5,2012,"1,500",19.31,1,97-64,55,경선파인 오피스텔,,,11410,서대문구,창천동, 
2002,, ,31,5,2012,"7,000",36,2,122-3,30,정연 지오빌,,,11410,서대문구,연희동, 
2002,, ,8,5,2012,500,20.67,5,100-15,46,브라운 힐,,,11410,서대문구,연희동, 
2003,, ,24,5,2012,"2,000",24.48,4,396-25,30,동림오벨리스크,,,11410,서대문구,홍은동, 
2004,, ,21,6,2012,"1,000",24.29,7,45-5,70,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2004,, ,14,6,2012,"1,000",24.29,8,45-5,70,이화인비따레오피스텔,,,11410,서대문구,대현동, 
2005,, ,27,6,2012,"7,500",19.01,6,103-7,0,스페이스엠,,,11410,서대문구,연희동, 
2007,, ,25,6,2012,"22,000",116.97,1,340-27,0,현대싱그런,,,11410,서대문구,연희동, 
2006,, ,25,6,2012,"7,500",22.61,4,190,20,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
2003,, ,26,6,2012,"8,000",22.23,5,88-11,0,정연지오빌ll,,,11410,서대문구,연희동, 
2003,, ,27,6,2012,"6,000",19.42,3,188-57,15,(188-57),,,11410,서대문구,연희동, 
2004,, ,23,6,2012,"1,500",19.25,9,78-4,45,시아 루비움,,,11410,서대문구,연희동, 
