aptNm,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
연대JK,2012,, ,8,1,2020,"4,000",24.09,1,518,55,,,11410,창천동, 
성원,2001,, ,4,1,2020,"33,000",59.61,4,740,0,,,11410,연희동, 
홍제원현대(459-0),2000,, ,10,1,2020,"35,000",59.93,4,459,0,,,11410,홍제동, 
두산,1999,, ,31,1,2020,"3,000",59.96,11,1009,105,,,11410,북아현동, 
우민B,2001,, ,13,1,2020,"33,000",84.52,5,1-49,0,,,11410,북아현동, 
동아빌라(188-72),1992,, ,31,1,2020,"35,900",164.92,1,188-72,0,,,11410,홍은동, 
북한산두산위브,2020,, ,29,1,2020,"14,000",84.78,2,467,163,,,11410,홍은동, 
DMC래미안e편한세상,2012,, ,30,1,2020,"30,000",59.97,6,481,25,,,11410,북가좌동, 
제이아델리아,2003,, ,13,1,2020,"50,000",185.01,6,81-6,0,,,11410,연희동, 
신원지벤스타7,2005,, ,20,1,2020,"47,000",129.96,4,394-1,0,,,11410,홍은동, 
안산맨숀,1972,, ,25,1,2020,0,76.03,6,104-20,25,,,11410,홍제동, 
홍은동벽산,1997,, ,21,1,2020,"35,000",142.98,10,455,0,,,11410,홍은동, 
남가좌동현대,1999,, ,21,1,2020,"39,000",114.9,1,376,0,,,11410,남가좌동, 
e편한세상신촌1단지,2018,, ,4,1,2020,"57,000",59.85,5,1013,0,,,11410,북아현동, 
DMC래미안클라시스,2000,, ,4,1,2020,"40,000",84.95,12,377,0,,,11410,남가좌동, 
독립문파크빌,2000,, ,8,1,2020,"2,000",59.4,2,1019,100,,,11410,현저동, 
현대,1992,, ,14,1,2020,"43,000",99.97,5,185-15,0,,,11410,충정로2가, 
충림예하임,2010,, ,31,1,2020,"43,000",84.6,4,477,0,,,11410,충정로3가, 
두산,1999,, ,21,1,2020,"36,000",59.96,1,1009,0,,,11410,북아현동, 
신촌자이엘라,2014,, ,28,1,2020,"6,000",20.11,20,104-36,65,,,11410,대현동, 
신촌푸르지오,2015,20.01~22.01,신규,9,1,2020,"5,000",59.8802,7,1011,160,,,11410,북아현동, 
문화촌현대,2002,, ,17,1,2020,"27,000",59.94,8,463,0,,,11410,홍제동, 
두산,1999,, ,21,1,2020,"36,000",59.96,1,1009,0,,,11410,북아현동, 
우민B,2001,, ,18,1,2020,"40,000",84.42,4,1-49,0,,,11410,북아현동, 
DMC파크뷰자이2단지,2015,, ,30,1,2020,"56,500",84.909,7,385,0,,,11410,남가좌동, 
천연뜨란채,2006,, ,18,1,2020,"38,000",55.85,6,145,0,,,11410,천연동, 
DMC휴먼빌아파트,2008,, ,18,1,2020,"29,000",84.21,2,456,0,,,11410,북가좌동, 
신촌럭키,1999,, ,21,1,2020,"24,000",59.7,14,144,40,,,11410,대현동, 
홍제한양,1993,, ,6,1,2020,"28,000",60.06,5,82,0,,,11410,홍제동, 
북한산더샵,2017,, ,13,1,2020,"60,000",114.868,10,464,0,,,11410,홍은동, 
두산,1999,, ,6,1,2020,"32,000",59.96,11,1009,0,,,11410,북아현동, 
풍림2,1990,20.03~22.03,신규,19,1,2020,"26,000",58.5,4,453-2,0,,,11410,홍은동, 
e편한세상신촌1단지,2018,, ,29,1,2020,"20,000",84.98,1,1013,150,,,11410,북아현동, 
DMC센트럴아이파크,2018,, ,16,1,2020,"30,000",84.97,6,388,80,,,11410,남가좌동, 
문화촌현대,2002,, ,29,1,2020,"35,000",84.99,7,463,0,,,11410,홍제동, 
북한산두산위브,2020,, ,29,1,2020,"41,000",84.98,3,467,0,,,11410,홍은동, 
홍제삼성래미안,2001,, ,18,1,2020,"27,000",32.76,11,461,0,,,11410,홍제동, 
DMC센트레빌,2009,, ,9,1,2020,"5,000",84.87,5,381,150,,,11410,남가좌동, 
홍제센트럴IPARK,2020,, ,17,1,2020,"63,000",84.97,17,473,0,,,11410,홍제동, 
래미안루센티아,2020,, ,18,1,2020,"53,000",84.95,3,390,0,,,11410,남가좌동, 
e편한세상신촌2단지,2018,, ,11,1,2020,"75,000",84.98,8,1013,0,,,11410,북아현동, 
인왕산현대,2000,, ,9,1,2020,"46,000",84.9,18,460,0,,,11410,홍제동, 
연희파크푸르지오,2018,, ,18,1,2020,"45,000",59.9835,8,747,0,,,11410,연희동, 
대림,1993,, ,20,1,2020,"39,000",84.74,4,700,0,,,11410,연희동, 
신촌럭키,1999,, ,28,1,2020,"35,000",59.7,7,144,0,,,11410,대현동, 
신일해피트리,2005,, ,23,1,2020,"40,000",84.98,1,455,0,,,11410,북가좌동, 
DMC파크뷰자이1단지,2015,20.03~22.03,신규,16,1,2020,"15,000",84.971,13,385,150,,,11410,남가좌동, 
