dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20111121,"9,000",0,0,2003,, ,26.03,4,136-7,(136-7),,,11410,서대문구,연희동, 
20111123,"10,000",0,0,2009,, ,56.12,5,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20111126,"1,000",50,0,2002,, ,19.61,3,62-48,(62-48),,,11410,서대문구,창천동, 
20111129,"23,000",0,0,2007,, ,116.97,1,340-27,현대싱그런,,,11410,서대문구,연희동, 
20111129,"7,000",0,0,2002,, ,25.73,3,76-24,(76-24),,,11410,서대문구,연희동, 
20111212,"2,000",70,0,2006,, ,29.26,9,117,충정로대우디오빌,,,11410,서대문구,합동, 
20111216,"3,000",30,0,2003,, ,26.36,2,413-126,(413-126),,,11410,서대문구,연희동, 
20111217,500,45,0,2002,, ,13.33,7,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20111223,"9,500",0,0,2006,, ,22.61,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20111226,"3,000",35,0,2004,, ,29.23,4,465,충정리시온,,,11410,서대문구,충정로3가, 
20111231,"10,000",0,0,2004,, ,22.08,4,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20120104,"9,500",0,0,2006,, ,22.61,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120118,"1,000",50,0,2002,, ,19.61,4,62-48,(62-48),,,11410,서대문구,창천동, 
20120118,"1,000",50,0,2002,, ,25.73,4,76-24,(76-24),,,11410,서대문구,연희동, 
20120121,"2,000",60,0,2004,, ,19.38,5,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120128,"8,700",13,0,2006,, ,19.4,5,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120130,"5,000",25,0,2003,12.02~14.02,신규,18.9,6,188-57,(188-57),,,11410,서대문구,연희동, 
20120130,"4,500",10,0,2003,, ,21.42,3,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
