dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20240812,"49,000",0,0,두산,1999,24.08~26.08,신규,59.96,11,1009,,,11410,북아현동, 
20240812,"10,000",260,0,홍제센트럴IPARK,2020,24.09~26.09,신규,84.9728,10,473,,,11410,홍제동, 
20240812,"7,720",76,0,더스타일하우스디센트럴,2020,24.09~26.09,갱신,36.1962,3,480,"7,720",74,11410,충정로3가, 
20240813,"75,000",0,0,에스케이뷰,2008,24.10~26.10,신규,84.909,11,118,,,11410,합동, 
20240813,"22,000",66,0,독립문삼호,1995,24.11~26.11,신규,75.66,4,100,,,11410,영천동, 
20240813,"71,600",0,0,힐스테이트신촌,2020,24.09~26.09,갱신,84.9557,4,1017,"68,200",,11410,북아현동,사용
20240813,"2,000",110,0,충정리시온,2004,24.09~26.09,신규,41.48,15,465,,,11410,충정로3가, 
20240813,"65,000",0,0,동부센트레빌,2002,24.10~26.10,신규,84.93,6,260,,,11410,냉천동, 
20240813,"37,040",0,0,신촌럭키,1999,24.09~26.09,갱신,59.7,8,144,"35,280",,11410,대현동, 
20240813,"8,980",72,0,더스타일하우스디센트럴,2020,24.09~26.09,갱신,36.1962,25,480,"8,980",70,11410,충정로3가, 
20240813,"2,000",110,0,충정리시온,2004,24.09~26.09,신규,41.48,15,465,,,11410,충정로3가, 
20240813,"74,900",0,0,힐스테이트신촌,2020,24.08~26.08,갱신,84.6043,14,1017,"71,400",,11410,북아현동, 
20240813,"10,000",150,0,두산,1999,24.10~26.10,신규,59.96,4,1009,,,11410,북아현동, 
20240813,"7,650",36,0,스타타워,2022,24.09~24.12,신규,17.18,5,269-1,,,11410,남가좌동, 
20240813,"60,000",0,0,DMC센트럴아이파크,2018,24.12~26.12,신규,59.91,10,388,,,11410,남가좌동, 
20240813,"37,040",0,0,신촌럭키,1999,, ,59.7,8,144,,,11410,대현동, 
20240813,"65,000",0,0,래미안루센티아,2020,24.10~26.10,신규,84.84,4,390,,,11410,남가좌동, 
20240813,"6,900",54,0,더스타일하우스디센트럴,2020,24.09~25.09,갱신,26.5236,13,480,"6,900",53,11410,충정로3가, 
20240813,"60,000",0,0,DMC센트럴아이파크,2018,, ,59.91,10,388,,,11410,남가좌동, 
20240813,"6,229",0,0,DMC파크뷰자이1단지(임대),2015,24.08~26.07,갱신,39.997,10,385,"6,082",,11410,남가좌동, 
20240813,"3,682",0,0,인왕산현대(460-1),2000,.~26.07,신규,32.67,4,460-1,,,11410,홍제동, 
20240813,"42,000",0,0,신촌푸르지오,2015,24.08~26.08,신규,34.25,1,1011,,,11410,북아현동, 
20240813,"25,563",0,0,금호어울림,2016,.~26.08,신규,59.18,3,471,,,11410,홍제동, 
20240813,"40,000",60,0,독립문삼호,1995,24.08~24.11,신규,84.78,8,100,,,11410,영천동, 
20240813,"70,000",0,0,DMC래미안e편한세상,2012,24.09~26.09,갱신,84.95,4,481,"65,000",,11410,북가좌동, 
20240813,"5,000",180,0,북한산삼부르네상스202동203동204동,2024,24.08~26.04,신규,84.159,4,8-933,,,11410,홍은동, 
20240813,"26,000",0,0,고은,1975,24.09~26.09,신규,62.48,3,156-200,,,11410,홍제동, 
20240813,"80,000",0,0,힐스테이트신촌,2020,24.10~26.10,신규,84.9715,10,1017,,,11410,북아현동, 
20240813,"30,000",145,0,힐스테이트신촌,2020,24.09~26.09,신규,59.8404,13,1017,,,11410,북아현동, 
20240813,"44,000",0,0,북한산삼부르네상스301동302동303동,2024,24.09~26.09,신규,84.159,3,8-285,,,11410,홍은동, 
20240813,"56,000",0,0,북한산두산위브,2020,24.09~26.09,신규,84.98,9,467,,,11410,홍은동, 
20240813,"3,000",60,0,시민,1978,24.08~26.08,신규,57.69,1,188-41,,,11410,연희동, 
20240814,"80,000",0,0,홍은센트레빌,2009,24.09~26.09,갱신,114.83,16,461,"80,000",,11410,홍은동, 
20240814,"50,000",100,0,DMC센트럴아이파크,2018,24.10~26.10,신규,84.94,12,388,,,11410,남가좌동, 
20240814,"82,000",0,0,e편한세상신촌4단지,2018,24.08~27.04,신규,59.9,7,1013,,,11410,북아현동, 
20240814,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,3,390,,,11410,남가좌동, 
20240814,"75,000",0,0,DMC에코자이,2019,24.09~26.09,신규,84.978,12,389,,,11410,남가좌동, 
20240814,"50,000",0,0,청구1차,1994,24.09~26.09,신규,84.78,7,453,,,11410,홍제동, 
20240814,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,2,390,,,11410,남가좌동, 
20240814,"80,000",0,0,돈의문센트레빌,2011,24.08~26.08,갱신,84.99,3,261,"70,000",10,11410,냉천동, 
20240814,"6,000",125,0,두산,1999,24.09~26.09,신규,59.96,5,1009,,,11410,북아현동, 
20240814,"48,000",0,0,DMC래미안클라시스,2000,24.10~26.10,신규,59.59,10,377,,,11410,남가좌동, 
20240814,"2,000",130,0,예스에이피엠,2007,24.09~26.09,신규,38.72,10,145,,,11410,대현동, 
20240814,"10,224",39,0,e편한세상신촌1단지,2018,.~26.08,신규,32.74,10,1013,,,11410,북아현동, 
20240814,"80,000",0,0,홍은센트레빌,2009,24.09~26.09,갱신,114.83,16,461,"80,000",,11410,홍은동,사용
20240814,"30,000",0,0,아름채,2004,24.09~26.09,신규,77.26,5,158-13,,,11410,홍제동, 
20240814,"8,000",152,0,e편한세상신촌3단지,2018,24.08~26.08,신규,59.97,2,1013,,,11410,북아현동, 
20240814,"9,455",23,0,래미안루센티아,2020,.~26.08,신규,34.12,10,390,,,11410,남가좌동, 
20240815,"50,000",0,0,두산,1999,24.09~26.09,신규,59.96,10,1009,,,11410,북아현동, 
20240815,"31,000",80,0,래미안남가좌2차,2005,24.10~26.09,신규,59.788,7,379,,,11410,남가좌동, 
20240815,"1,000",70,0,디엠씨엘가,2017,24.09~25.09,신규,13.03,12,387,,,11410,남가좌동, 
20240815,"69,000",0,0,DMC파크뷰자이1단지,2015,24.11~26.11,신규,84.971,24,385,,,11410,남가좌동, 
20240815,"79,000",0,0,e편한세상신촌4단지,2018,24.09~26.09,신규,59.9,17,1013,,,11410,북아현동, 
20240815,"50,000",70,0,DMC파크뷰자이1단지,2015,24.11~26.11,신규,84.968,17,385,,,11410,남가좌동, 
20240815,"34,000",30,0,임광,1999,24.10~26.10,신규,59.96,3,738,,,11410,연희동, 
20240815,"57,700",0,0,DMC래미안e편한세상,2012,24.10~26.10,갱신,59.97,6,481,"55,000",,11410,북가좌동,사용
20240815,"60,000",0,0,DMC센트럴아이파크,2018,24.11~26.11,신규,59.91,7,388,,,11410,남가좌동, 
20240815,"69,000",0,0,DMC파크뷰자이1단지,2015,, ,84.971,24,385,,,11410,남가좌동, 
20240815,"31,000",80,0,래미안남가좌2차,2005,24.10~26.09,신규,59.788,7,379,,,11410,남가좌동, 
20240815,"95,000",0,0,DMC래미안e편한세상,2012,24.09~26.09,신규,120.95,11,481,,,11410,북가좌동, 
20240815,"28,500",0,0,디엠씨엘가,2017,24.11~26.11,신규,30.36,8,387,,,11410,남가좌동, 
20240815,"63,000",0,0,힐스테이트신촌,2020,, ,59.8404,18,1017,,,11410,북아현동, 
20240815,"10,000",180,0,천연뜨란채,2006,24.09~26.09,신규,59.47,1,145,,,11410,천연동, 
20240815,"74,000",0,0,DMC래미안e편한세상,2012,24.08~26.08,갱신,84.97,16,481,"70,500",,11410,북가좌동, 
20240815,"10,000",180,0,천연뜨란채,2006,24.09~26.09,신규,59.47,1,145,,,11410,천연동, 
20240815,"56,500",0,0,홍은동벽산,1997,24.10~26.10,신규,142.98,4,455,,,11410,홍은동, 
20240815,"1,000",135,0,(72-31),2023,24.08~25.08,신규,16.93,17,72-31,,,11410,창천동, 
20240815,"63,000",0,0,DMC에코자이,2019,24.10~26.10,신규,59.656,6,389,,,11410,남가좌동, 
20240815,"70,000",0,0,DMC파크뷰자이3단지,2015,24.11~26.11,신규,84.99,17,385,,,11410,남가좌동, 
20240816,"13,013",32,0,DMC에코자이,2019,.~26.08,신규,39.885,9,389,,,11410,남가좌동, 
20240816,"42,950",0,0,천연뜨란채,2006,24.09~26.09,갱신,56.08,4,145,"40,950",,11410,천연동,사용
20240816,"70,000",0,0,DMC파크뷰자이2단지,2015,24.09~26.09,갱신,84.99,22,385,"70,000",,11410,남가좌동,사용
20240816,"18,000",10,0,부림베스트빌,2001,24.09~25.09,갱신,57.47,4,403-2,"20,000",,11410,홍은동, 
20240816,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,6,390,,,11410,남가좌동, 
20240816,"54,000",0,0,래미안남가좌2차,2005,24.11~26.11,신규,59.788,11,379,,,11410,남가좌동, 
20240816,"32,550",50,0,홍은동벽산,1997,24.09~26.09,갱신,84.96,7,455,"31,000",50,11410,홍은동,사용
20240816,"98,000",0,0,e편한세상신촌3단지,2018,24.10~26.10,신규,84.95,18,1013,,,11410,북아현동, 
20240816,"6,685",0,0,DMC파크뷰자이2단지(임대),2015,.~26.08,신규,39.997,4,385,,,11410,남가좌동, 
20240816,"37,500",0,0,홍제현대,1992,24.10~26.10,신규,60.81,5,331,,,11410,홍제동, 
20240816,"11,280",71,0,더스타일하우스디센트럴,2020,24.09~26.09,갱신,39.8291,22,480,"11,280",69,11410,충정로3가, 
20240816,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,11,390,,,11410,남가좌동, 
20240816,"35,000",0,0,DMC래미안e편한세상,2012,24.09~26.09,신규,120.93,1,481,,,11410,북가좌동, 
20240816,"66,000",0,0,래미안남가좌2차,2005,24.09~26.09,신규,84.806,14,379,,,11410,남가좌동, 
20240816,"15,000",200,0,홍제센트럴IPARK,2020,24.08~26.08,신규,84.9644,12,473,,,11410,홍제동, 
20240816,"20,000",140,0,인왕산현대,2000,24.10~26.10,신규,114.72,12,460,,,11410,홍제동, 
20240816,"10,012",24,0,래미안루센티아,2020,.~26.08,신규,34.12,3,390,,,11410,남가좌동, 
20240816,"11,704",31,0,e편한세상신촌1단지,2018,.~26.08,신규,32.74,7,1013,,,11410,북아현동, 
20240816,"1,000",66,0,연희웨스트팰리스,2014,24.08~25.08,갱신,13.12,9,746,"1,000",63,11410,연희동,사용
