dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110525,"9,000",0,0,2006,, ,19.4,9,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110525,"2,000",38,0,2004,11.06~12.06,신규,24.84,8,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110525,"7,500",0,0,2005,, ,19.01,1,103-7,스페이스엠,,,11410,서대문구,연희동, 
20110531,"4,000",50,0,2009,, ,25.35,18,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20110531,"9,000",0,0,2003,, ,26.03,5,136-7,(136-7),,,11410,서대문구,연희동, 
20110531,"12,000",0,0,2009,, ,25.35,5,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20110603,"7,500",20,0,2006,, ,22.61,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110604,"9,800",0,0,2006,, ,22.61,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110605,"2,000",50,0,2004,, ,20.52,5,188-3,(188-3),,,11410,서대문구,연희동, 
20110607,"9,000",0,0,2003,, ,26.03,2,136-7,(136-7),,,11410,서대문구,연희동, 
20110610,"9,500",0,0,2006,, ,19.4,7,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110610,"1,000",40,0,2002,, ,20.67,5,100-15,브라운 힐,,,11410,서대문구,연희동, 
20110620,"5,000",45,0,2006,, ,29.65,4,90-1,(90-1),,,11410,서대문구,대신동, 
20110625,"3,000",25,0,2004,, ,19.58,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20110627,"1,000",48,0,2002,, ,20.39,5,121-4,오벨리스크,,,11410,서대문구,연희동, 
20110630,"1,000",60,0,2004,, ,19.38,6,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20110702,"1,000",80,0,2004,, ,31.15,7,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20110704,"4,000",0,0,2003,, ,17.34,1,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
